Type,Latitude,Longitude,email
Street-based Prostitution,41.48199,-81.79819,moc
Street-based Prostitution,41.72059,-87.70172,moc
Street-based Prostitution,33.03699,-117.29198,moc
Street-based Prostitution,42.4251,-71.06616,moc
Street-based Prostitution,40.72816,-74.07764,moc
Street-based Prostitution,38.91817,-78.19444,moc
Street-based Prostitution,34.25628,-78.04471,moc
Street-based Prostitution,34.25628,-78.04471,moc
Street-based Prostitution,47.4943,-122.24092,moc
Street-based Prostitution,33.95015,-118.03917,moc
Street-based Prostitution,39.71734,-74.96933,moc
Street-based Prostitution,38.96372,-76.99081,moc
Street-based Prostitution,42.7392,-84.62081,moc
Street-based Prostitution,31.84568,-102.36764,moc
Street-based Prostitution,40.94065,-73.99681,moc
Street-based Prostitution,43.91452,-69.96533,moc
Street-based Prostitution,26.18924,-98.15529,moc
Street-based Prostitution,34.09668,-117.71978,moc
Street-based Prostitution,37.73604,-120.93549,moc
Street-based Prostitution,32.54044,-82.90375,moc
Street-based Prostitution,26.68451,-80.66756,moc
Street-based Prostitution,40.63316,-74.13653,moc
Street-based Prostitution,33.45122,-86.99666,moc
Street-based Prostitution,33.7207,-116.21677,moc
Street-based Prostitution,41.6764,-91.58045,moc
Street-based Prostitution,33.08014,-83.2321,moc
Street-based Prostitution,43.54072,-116.56346,moc
Street-based Prostitution,41.55815,-73.0515,moc
Street-based Prostitution,39.72943,-104.83192,moc
Street-based Prostitution,29.84576,-90.10674,moc
Street-based Prostitution,42.30865,-83.48216,moc
Street-based Prostitution,34.14251,-118.25508,moc
Street-based Prostitution,42.4251,-71.06616,moc
Street-based Prostitution,41.47892,-87.45476,moc
Street-based Prostitution,39.57582,-105.11221,moc
Street-based Prostitution,36.91023,-121.75689,moc
Street-based Prostitution,46.32374,-120.00865,moc
Street-based Prostitution,40.34912,-111.90466,moc
Street-based Prostitution,43.61062,-72.97261,moc
Street-based Prostitution,47.38093,-122.23484,moc
Street-based Prostitution,42.30865,-83.48216,moc
Street-based Prostitution,41.55815,-73.0515,moc
Street-based Prostitution,31.12406,-97.90308,moc
Street-based Prostitution,31.12406,-97.90308,moc
Street-based Prostitution,40.81,-73.9625,moc
Street-based Prostitution,34.21639,-119.0376,moc
Street-based Prostitution,36.61033,-88.31476,moc
Street-based Prostitution,39.43534,-84.20299,moc
Street-based Prostitution,38.06084,-97.92977,moc
Street-based Prostitution,40.68066,-73.47429,moc
